NEWCODE,HTS_MASTER_CODE,COUNTRY,NEWRATE,NEWRATE_CLEAN,RATE_MODIFIER,ADDITIONAL_DUTY_PCT,ADDITIONAL_VALUE,ADDITIONAL_UNIT,TRADEPROGRAM,MATCH_PRIORITY
9902.02.36,2909.30.60,Global,0,0.0,,,,,MTB,20
9902.02.37,2909.49.60,Global,0,0.0,,,,,MTB,20
9902.02.38,2909.60.10,Global,0,0.0,,,,,MTB,20
9902.02.39,2909.60.20,Global,0,0.0,,,,,MTB,20
9902.02.40,2909.60.20,Global,0,0.0,,,,,MTB,20
9902.02.41,2909.60.50,Global,0,0.0,,,,,MTB,20
9902.02.42,2910.90.91,Global,0,0.0,,,,,MTB,20
9902.02.43,2911.00.50,Global,0,0.0,,,,,MTB,20
9902.02.44,2912.19.10,Global,0,0.0,,,,,MTB,20
9902.02.45,2912.19.30,Global,0.002,0.002,,,,,MTB,20
9902.02.46,2912.29.60,Global,0.028,0.028,,,,,MTB,20
9902.02.47,2912.29.60,Global,0,0.0,,,,,MTB,20
9902.02.48,2912.29.60,Global,0,0.0,,,,,MTB,20
9902.02.49,2912.49.10,Global,0,0.0,,,,,MTB,20
9902.02.50,2912.49.26,Global,0,0.0,,,,,MTB,20
9902.02.51,2912.49.55,Global,0,0.0,,,,,MTB,20
9902.02.52,2913.00.40,Global,0,0.0,,,,,MTB,20
9902.02.53,2913.00.40,Global,0,0.0,,,,,MTB,20
9902.02.54,2914.19.00,Global,0.002,0.002,,0.2,,,MTB,20
9902.02.55,2914.23.00,Global,0,0.0,,,,,MTB,20
9902.02.56,2914.23.00,Global,0,0.0,,,,,MTB,20
9902.02.57,2914.29.50,Global,0,0.0,,,,,MTB,20
9902.02.58,2914.29.50,Global,0,0.0,,,,,MTB,20
9902.02.59,2914.29.50,Global,0.017,0.017,,,,,MTB,20
9902.02.60,2914.39.90,Global,0,0.0,,,,,MTB,20
9902.02.61,2914.39.90,Global,0,0.0,,,,,MTB,20
9902.02.62,2914.39.90,Global,0,0.0,,,,,MTB,20
9902.02.63,2914.40.90,Global,0.01,0.01,,1.0,,,MTB,20
9902.02.64,2914.50.30,Global,0,0.0,,,,,MTB,20
9902.02.65,2914.50.30,Global,0,0.0,,,,,MTB,20
9902.02.66,2914.50.50,Global,0,0.0,,,,,MTB,20
9902.02.67,2914.69.10,Global,0,0.0,,,,,MTB,20
9902.02.68,2914.79.40,Global,0,0.0,,,,,MTB,20
9902.02.69,2914.79.40,Global,0.033,0.033,,,,,MTB,20
9902.02.70,2914.79.40,Global,0,0.0,,,,,MTB,20
9902.02.71,2914.79.90,Global,0,0.0,,,,,MTB,20
9902.02.72,2914.79.90,Global,0,0.0,,,,,MTB,20
9902.02.73,2915.39.45,Global,0,0.0,,,,,MTB,20
9902.02.74,2915.40.50,Global,0,0.0,,,,,MTB,20
9902.02.75,2915.40.50,Global,0,0.0,,,,,MTB,20
9902.02.76,2915.40.50,Global,0,0.0,,,,,MTB,20
9902.02.78,2915.90.18,Global,0,0.0,,,,,MTB,20
9902.02.79,2915.90.50,Global,0,0.0,,,,,MTB,20
9902.02.80,2915.90.50,Global,0,0.0,,,,,MTB,20
9902.02.81,2916.12.50,Global,0.001,0.001,,,,,MTB,20
9902.02.82,2916.14.20,Global,0,0.0,,,,,MTB,20
9902.02.83,2916.19.20,Global,0.026,0.026,,,,,MTB,20
9902.02.84,2916.19.30,Global,0,0.0,,,,,MTB,20
9902.02.85,2916.20.50,Global,0,0.0,,,,,MTB,20
9902.02.86,2916.20.50,Global,0.024,0.024,,,,,MTB,20
9902.02.87,2916.32.20,Global,0.02,0.02,,,,,MTB,20
9902.02.88,2916.39.03,Global,0,0.0,,,,,MTB,20
9902.02.89,2916.39.21,Global,0,0.0,,,,,MTB,20
9902.02.90,2916.39.79,Global,0,0.0,,,,,MTB,20
9902.02.91,2917.11.00,Global,0,0.0,,,,,MTB,20
9902.02.92,2917.11.00,Global,0,0.0,,,,,MTB,20
9902.02.93,2917.13.00,Global,0.02,0.02,,,,,MTB,20
9902.02.94,2917.19.70,Global,0,0.0,,,,,MTB,20
9902.02.95,2917.19.70,Global,0,0.0,,,,,MTB,20
9902.02.96,2917.20.00,Global,0,0.0,,,,,MTB,20
9902.02.97,2917.39.04,Global,0,0.0,,,,,MTB,20
