country_name,country_id,year,iso3,region,v2excrptps,v2exthftps,v2cltrnslw,v2clrspct,v2stcritrecadm,risk_v2excrptps,risk_v2exthftps,risk_v2cltrnslw,risk_v2clrspct,risk_v2stcritrecadm,risk_score,risk_level
Papua New Guinea,93,2025,PNG,9.0,-2.025,-2.103,0.037,0.142,0.639,81.45499766827298,81.85471406491499,50.30576587070472,51.02094935030497,40.57859209257473,61.02301798952238,High
Republic of the Congo,112,2025,COG,4.0,-0.794,-1.068,-0.772,-0.289,-0.287,62.319291154982125,65.85780525502318,62.085032032615025,56.73561389551843,58.437801350048204,60.91018303263534,High
Ukraine,100,2025,UKR,1.0,-0.134,-0.632,-1.183,0.215,-1.166,52.059692212031706,59.119010819165375,68.06930693069306,50.053036329885984,75.39054966248794,60.585353260496134,High
Laos,123,2025,LAO,7.0,-1.258,-0.67,0.644,-0.792,-0.485,69.53210010881394,59.70633693972178,41.46767617938264,63.404932378679405,62.25650916104145,59.76479911198244,High
Syria,97,2025,SYR,3.0,-0.541,-1.092,-0.711,0.173,-0.437,58.3864448935178,66.22874806800618,61.19685497961561,50.60991779368869,61.33076181292188,59.15843035082562,High
Qatar,94,2025,QAT,3.0,-0.348,0.143,-0.816,0.786,-1.605,55.386289445048966,47.14064914992272,62.725684333139185,42.48210023866349,83.85728061716489,58.73068277154417,High
Bangladesh,24,2025,BGD,8.0,-1.486,-0.907,0.262,-0.766,0.517,73.07632519819678,63.36939721792889,47.02970297029702,63.06019623442059,42.93153326904532,58.378777376991124,High
Mali,28,2025,MLI,4.0,-1.304,-0.52,-0.129,-0.64,0.361,70.2471630654438,57.387944358578046,52.722772277227726,61.38955184301247,45.940212150433936,58.18048967428248,High
Iran,79,2025,IRN,3.0,-0.925,-0.758,-0.456,-0.568,0.352,64.35566609668895,61.06646058732611,57.483983692486895,60.434897905064965,46.11378977820636,58.0554198874228,High
Philippines,46,2025,PHL,7.0,-1.067,-0.555,-0.533,-0.93,0.71,66.56303435411162,57.92890262751159,58.6051252184042,65.23468575974543,39.20925747348119,57.93990767298081,High
Djibouti,113,2025,DJI,4.0,-1.487,-0.633,0.208,0.119,-0.098,73.09187004508006,59.13446676970633,47.81595806639487,51.3259082471493,54.792671166827375,57.93004502280028,High
Algeria,103,2025,DZA,3.0,-0.646,-0.573,-0.295,-0.801,0.209,60.018653816259906,58.20710973724883,55.13977868375073,63.52426412092284,48.871745419479254,57.24288755948287,High
Vietnam,34,2025,VNM,7.0,-0.198,-0.215,-1.039,-0.781,0.138,53.05456241256024,52.67387944358577,65.97262667443215,63.25908247149298,50.241080038572804,57.0592803565775,High
Mexico,3,2025,MEX,2.0,-0.267,0.018,-0.835,-0.285,-0.401,54.127156847505056,49.0726429675425,63.00232964472917,56.682577565632464,60.6364513018322,56.95695735944641,High
China,110,2025,CHN,6.0,-0.369,-0.185,-0.841,-0.684,0.321,55.71273122959738,52.21020092735703,63.089691322073385,61.972951471758165,46.71166827386691,56.11457516004259,High
India,39,2025,IND,8.0,-0.868,-1.055,0.683,-1.63,0.867,63.46960982434323,65.65687789799073,40.899825276645316,74.5160434897905,36.18129218900675,56.03536633187292,High
Morocco,90,2025,MAR,3.0,-1.099,-0.949,-0.002,-0.364,0.755,67.06046945437588,64.01854714064915,50.873616773442045,57.73004508088041,38.34136933461909,55.756905672479654,High
Angola,104,2025,AGO,4.0,-0.157,-0.894,0.075,0.212,-0.663,52.417223690346646,63.16846986089644,49.75247524752475,50.092813577300454,65.68948891031822,55.68653194874982,High
Sierra Leone,95,2025,SLE,4.0,-0.881,-1.115,-0.21,1.634,-0.454,63.67169283382559,66.58423493044822,53.90215492137449,31.23839830283745,61.6586306653809,55.2653952259422,High
Kazakhstan,121,2025,KAZ,1.0,-0.6,-0.63,0.124,-0.583,0.251,59.30359085963003,59.08809891808345,49.03902154921374,60.63378414213737,48.061716489874634,55.236016988865174,High
Tunisia,98,2025,TUN,3.0,-0.923,0.063,-0.203,-0.182,0.252,64.32457640292243,48.377125193199376,53.80023296447292,55.31689207106869,48.0424300867888,54.7696239041766,High
Honduras,27,2025,HND,2.0,-1.416,-0.959,0.716,1.272,-0.307,71.98818591636874,64.17310664605873,40.41933605125218,36.0381861575179,58.823529411764696,54.67922280010796,High
Kyrgyzstan,122,2025,KGZ,1.0,-1.081,-0.695,0.301,0.628,0.244,66.78066221047722,60.09273570324575,46.4618520675597,44.577035269159374,48.1967213114754,53.556197637745065,High
Armenia,105,2025,ARM,1.0,-0.382,-0.422,1.102,0.358,-0.952,55.914814239079746,55.87326120556414,34.799068142108325,48.15698753646248,71.26325940212149,53.203555756743015,High
Albania,12,2025,ALB,1.0,-0.824,-0.25,0.791,0.646,-0.513,62.78563656147986,53.21483771251931,39.32731508444962,44.3383717846725,62.796528447444544,52.971077860561195,High
Thailand,49,2025,THA,7.0,-0.297,-0.405,-1.036,-0.296,1.366,54.5935022540028,55.61051004636784,65.92894583576006,56.82842747281889,26.55737704918032,51.852902142007736,High
Gabon,116,2025,GAB,4.0,-2.075,-0.768,2.151,1.636,-0.337,82.23224001243588,61.2210200927357,19.52533488642982,31.21188013789446,59.40212150433943,51.76908032275207,High
Dominican Republic,114,2025,DOM,2.0,-0.704,-1.099,0.636,0.443,0.575,60.920254935488884,66.33693972179287,41.584158415841586,47.029965526385574,41.8129218900675,51.26601385860008,High
Guatemala,78,2025,GTM,2.0,-1.017,-0.521,0.599,0.66,0.431,65.7857920099487,57.403400309119,42.122888759464175,44.1527446300716,44.59016393442622,51.23011751364743,High
Ghana,7,2025,GHA,4.0,-0.964,-0.769,2.08,0.015,-0.051,64.96191512513603,61.23647604327665,20.559114735002908,52.70485282418457,53.88621022179363,50.85598574397173,High
Bolivia,25,2025,BOL,2.0,-0.259,-0.992,0.953,0.313,0.055,54.002798072438985,64.68315301391036,36.96854979615608,48.75364624767966,51.841851494696236,50.71598197790269,High
Niger,60,2025,NER,4.0,-1.061,-0.766,1.403,-0.323,0.994,66.46976527281207,61.19010819165378,30.416423995340708,57.1864226995492,33.73191899710704,50.062910685350474,High
